,biased_B,Type1_depressed
0,"[0.3333333333333333, 0.013908388659802021, 0.36173709838113216, 0.4885226408964158, 0.5452943427542166, 0.041379546926881595, 0.019136898451196857, 0.37896388737555586, 0.5115474864083647, 0.5573995844805936, 0.5831516219931875, 0.6033982665671811, 0.6210512115411619, 0.07519471303709668, 0.45672911565773067, 0.08015181160509614, 0.4338124662169611, 0.5370857236161931, 0.5659598844668962, 0.578418793572536, 0.37251253407487306, 0.0804252118946944, 0.053934025770072176, 0.04668070201201947, 0.04204868399851433, 0.038284057547114544, 0.03505059738915017, 0.03223234690866177, 0.02976075868366714, 0.4222862116689574, 0.07065627600655582, 0.03904636744792744, 0.03351886218625071, 0.031065160803511464, 0.029206856831881733, 0.027579532983952656, 0.41142649932813513, 0.06935484528880213, 0.03658673548921877, 0.03138284424134059]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.8553681754960674, 0.8950657433952823, 0.18369316699466273, 0.05090821244277814, 0.027092269992812404, 0.5863293228733301, 0.8276402475266829, 0.882177799331886, 0.9010228847035121, 0.912515813619458, 0.9212599607516723, 0.9283229844051106, 0.934166450206199, 0.9390790556426798, 0.25767381027196745, 0.7778027280108197, 0.905113676192764, 0.7706016718549306, 0.17987002952813874, 0.052090712631213426, 0.031134028902325427, 0.02470724451479967, 0.21905378972497722, 0.04063157316005052, 0.21977954622001283, 0.7514561725200212, 0.9013285300963924, 0.2412108649701057, 0.7370389718750682, 0.19939070921421903, 0.34108458372406997, 0.08497015205051071, 0.26479199530112574, 0.3695106902779745, 0.08755007276961584, 0.26570998004359964, 0.3653886505105921]"
1,"[0.3333333333333333, 0.5232928834663807, 0.5969411398409169, 0.04420183501732077, 0.4593038637133324, 0.05374786324456915, 0.42796465936392364, 0.5472788326350263, 0.5874138583440227, 0.09253872933953365, 0.4443735738007966, 0.5437525210973156, 0.5734327841648943, 0.5889163197769768, 0.601148005911963, 0.6120968758150499, 0.6221539553489717, 0.6314458242085643, 0.6400512009419349, 0.6480352781936976, 0.4401027353686689, 0.08933772629914806, 0.05630909940306513, 0.04681892762307075, 0.487496358466854, 0.0995262173088755, 0.059467495764206374, 0.049991997040652277, 0.04487737261158996, 0.04093312156068989, 0.03757450570964166, 0.4594247212417521, 0.0912977486772078, 0.050325868446431575, 0.0422464149454148, 0.038803568256825384, 0.0363153329452425, 0.03417227970096889, 0.03225057820393286, 0.03051018594105609]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.8553681754960674, 0.8950657433952823, 0.9175595729807371, 0.20397610323945367, 0.7681308265602034, 0.8896946258398009, 0.9137991170319043, 0.2808343742779542, 0.7759946510673573, 0.270691701505153, 0.7410439778876021, 0.2970599019945837, 0.7225732273820547, 0.8308438214241063, 0.3713310803160847, 0.7287762029924226, 0.816227117326683, 0.6802826255716591, 0.31252628512963015, 0.20796885924785155, 0.45167532220268886, 0.23065728487917067, 0.4512245279078991, 0.2224849538960074, 0.4403678467984831, 0.2127711878195745, 0.429455803005972, 0.49989545096845533, 0.21906593524730988, 0.42779956334474023, 0.49191531524642507, 0.7326707255764902, 0.7821423243290886, 0.30418869894683287, 0.4620565268927128, 0.506650243104331, 0.5188158859354944]"
2,"[0.3333333333333333, 0.5232928834663807, 0.5969411398409169, 0.6480195642995852, 0.6871187480827441, 0.0609240390039993, 0.515188452707587, 0.6489302238945222, 0.09237465954508503, 0.499517789568312, 0.6213072804968592, 0.6553457350346084, 0.6717178034564725, 0.6840876695366199, 0.6948879406349743, 0.7046198861836018, 0.13397583329855223, 0.06057102452817204, 0.49979881326136455, 0.6441262660291339, 0.46412193383705347, 0.10737859281921164, 0.06037905994391839, 0.047782214699790965, 0.04120231890896347, 0.03642514174590948, 0.03255322999299851, 0.029310923447566844, 0.026561767514263666, 0.024212355929747718, 0.4556578982952944, 0.08587743784922175, 0.03783085270109316, 0.02885607644224302, 0.025855429448664903, 0.024006478798439184, 0.022494149949048768, 0.021162481038663666, 0.4416134867557823, 0.6644544523417484]","[0.15000000000000008, 0.009219171117775144, 0.36613981071968843, 0.5530280194153558, 0.6736265877142662, 0.753893067451595, 0.8066109618663531, 0.12077655947595159, 0.6072733999550419, 0.12596061143729573, 0.5673780253835092, 0.14853852032112808, 0.5439832925741165, 0.669423995981781, 0.2041895164451279, 0.12230615910671644, 0.30088905973463437, 0.3539155596531463, 0.6036287909141949, 0.20061103533697702, 0.3309629529549308, 0.36440374809423054, 0.37284879266991855, 0.37498880539363144, 0.3755874231406899, 0.3758140323394067, 0.3759455857779972, 0.37604646129574754, 0.37613223026575465, 0.37620748074757515, 0.37627424262623166, 0.37633382920476444, 0.3763872547401378, 0.37643534875341733, 0.3764788028034742, 0.376518198770941, 0.3765540294894714, 0.37658671475767647, 0.3766166140337234, 0.37664403660751933]"
3,"[0.3333333333333333, 0.5232928834663807, 0.0333582713446826, 0.013925809446523905, 0.38787216851969, 0.5393183454648256, 0.5982326735428084, 0.635301848470991, 0.664587381400398, 0.6891560867301297, 0.710124165966394, 0.7281731257400929, 0.7438172766282635, 0.7574656477708349, 0.7694475906308612, 0.09455045076849414, 0.5694951672526011, 0.7117378206885769, 0.7456186522046777, 0.12825088862109266, 0.3034328403266783, 0.07276711165783704, 0.04386437921010079, 0.03561061681157457, 0.030844910589208623, 0.027247128774079567, 0.024315702392044586, 0.45966088963406315, 0.08483802695745056, 0.49578064300983676, 0.6655702571783731, 0.7127858212082947, 0.14884556332095814, 0.058774801566443505, 0.04195062363562012, 0.03673742394679005, 0.033772090527957266, 0.0314292458165625, 0.029391864623960453, 0.0275779298258195]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.10874104355195065, 0.6417789883264085, 0.7950703116528643, 0.8441445293125952, 0.2114424462632343, 0.6873686539112945, 0.21286367386732505, 0.6507394587880878, 0.7710412006064288, 0.8053561175594167, 0.8225509413709499, 0.8354226234658322, 0.8463118781813251, 0.8557990412627321, 0.8641481115211309, 0.8715422686472403, 0.878126526213815, 0.7150770526123249, 0.25544672592740975, 0.14119447462928275, 0.10700362487067765, 0.08998805236668735, 0.6451807607260551, 0.23428686123909237, 0.42288461326186577, 0.49760031177158853, 0.5267726491115163, 0.1917923936595324, 0.40595827555246683, 0.4850480725685073, 0.5133027150692688, 0.5231391871124471, 0.5265196170899643, 0.5277010575003271, 0.5281501654356817, 0.5283574959843571, 0.5284829319901206]"
4,"[0.3333333333333333, 0.5232928834663807, 0.5969411398409169, 0.6480195642995852, 0.05324163887168198, 0.019168741007119898, 0.44214469692249964, 0.6097937659434013, 0.6614433397947592, 0.6880798147832243, 0.7080669244799366, 0.7248890266077451, 0.7394617113789083, 0.7522192319495375, 0.7634644436850733, 0.7734354447473282, 0.7823251062518277, 0.7902913123649529, 0.7974641945273876, 0.803951671233943, 0.5832803736442241, 0.08500239341135925, 0.5988751220874596, 0.11158246172461006, 0.04542006319745864, 0.5295861305241729, 0.11554088952728073, 0.053108650219444775, 0.03897611363132279, 0.49331392267955654, 0.694152180863034, 0.16733834991002033, 0.5621470158236691, 0.15818932355848123, 0.07996033459446963, 0.06071650569300549, 0.05325066380361834, 0.4705595571092931, 0.13991430064595703, 0.0757235718770649]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.8553681754960674, 0.8950657433952823, 0.9175595729807371, 0.9317592067634707, 0.21726341409910033, 0.7874229742218849, 0.21949245031270542, 0.7469381471927967, 0.8750774761080636, 0.31249515702399266, 0.7539195898422822, 0.8590984235916115, 0.8827129351043846, 0.8921976778443388, 0.8988590444540441, 0.9045006079825816, 0.9094768718334046, 0.7719018308542164, 0.23979083640554547, 0.7611985483673872, 0.27726068652907, 0.13721895467370082, 0.09728586831979834, 0.07942643079699606, 0.06760636024232733, 0.31724841605834636, 0.10216581595678062, 0.3257667939736264, 0.09930625946489824, 0.3153985772085993, 0.09366488003131652, 0.3043948613876972, 0.08849790647973192, 0.2943542396886378, 0.0839694324573948, 0.2852683439778937, 0.0799839448551552]"
5,"[0.3333333333333333, 0.5232928834663807, 0.5969411398409169, 0.6480195642995852, 0.6871187480827441, 0.717591116688559, 0.06726348190459223, 0.5372789468849075, 0.6735047150361876, 0.7096495876238214, 0.7273449033077417, 0.1098151061485541, 0.5495264975583568, 0.675420092580922, 0.7062997870191836, 0.1449771538306301, 0.5459376937878064, 0.6588616139061173, 0.6865969104588896, 0.6971364572131477, 0.5068044246946359, 0.6568867078026155, 0.19747385817411295, 0.5587105841369386, 0.20060544547087383, 0.5410770804948337, 0.21711066721561015, 0.14817860953206086, 0.12573410396905907, 0.11380149673893057, 0.10492315694395468, 0.09734322297362265, 0.09060106685721843, 0.08453951548881411, 0.48427343312392956, 0.6221988358931522, 0.21277998986587626, 0.12499355466151706, 0.1020423036793598, 0.4778138811267336]","[0.15000000000000008, 0.009219171117775144, 0.36613981071968843, 0.5530280194153558, 0.04668518053960928, 0.4583656541892847, 0.6045623919869865, 0.6724940156681507, 0.7180223238782881, 0.752686129571014, 0.7801442435173914, 0.8023205433754347, 0.8204984336736912, 0.8355975738935648, 0.8482928194473135, 0.8590863388798614, 0.868356511521698, 0.8763919995043361, 0.8834157213179187, 0.8896018618446278, 0.7111732928798264, 0.14289963363337743, 0.060653208177221155, 0.04451687532150635, 0.6240985488310147, 0.8197918820691469, 0.19952883489452417, 0.07809832971688416, 0.6043451234527828, 0.16888940574510858, 0.37517660466928326, 0.11723467062451265, 0.3435869273776953, 0.1079686558614107, 0.3314671218840989, 0.42356084501446, 0.7164300547642585, 0.20369204387748396, 0.37611394854869457, 0.4413175106902415]"
6,"[0.3333333333333333, 0.013908388659802021, 0.36173709838113216, 0.0223493561542572, 0.3473099902785006, 0.030626424012158503, 0.017357621869296933, 0.014070049477150058, 0.012032539072435313, 0.010522966897079707, 0.3040490592807319, 0.4470441946749477, 0.5054959452270718, 0.540515730877165, 0.5684900715707926, 0.593046640829638, 0.6150704379656874, 0.6349079355368802, 0.6527986419790566, 0.6689515698296253, 0.3829212004612869, 0.03715585591599766, 0.455007111562389, 0.0533754883020443, 0.02614246862926682, 0.02164222219397932, 0.019494865927346547, 0.4147934858116101, 0.05433337211066855, 0.026904003626528557, 0.4043804430829341, 0.06163218602758991, 0.03197930424524035, 0.02716044322567494, 0.02517512955490832, 0.023715666278277737, 0.022444148889849372, 0.021295742354464842, 0.39465726301414705, 0.05940238745596817]","[0.15000000000000008, 0.009219171117775144, 0.36613981071968843, 0.5530280194153558, 0.6736265877142662, 0.07464926624504405, 0.5188660895738963, 0.6679923668645493, 0.7257374371306504, 0.7607483325468233, 0.7870014636206388, 0.8080260278225149, 0.825286163675749, 0.8396706470245329, 0.17256614066566636, 0.07080419429149937, 0.5914854458758794, 0.7620512831471301, 0.8069502852802827, 0.823153426198393, 0.6285237273155374, 0.7919495149811069, 0.19579253509578934, 0.09303064907943345, 0.07163732133678662, 0.06187260508622514, 0.30742651626363876, 0.0850195992941527, 0.3071567576624509, 0.6884778050453577, 0.16719373230542312, 0.34292132631787836, 0.40811160283746606, 0.4320093681993526, 0.11541963860555986, 0.3216477563999967, 0.39444734790933694, 0.4194225519222119, 0.42780566852748303, 0.43059040895885964]"
7,"[0.3333333333333333, 0.5232928834663807, 0.5969411398409169, 0.6480195642995852, 0.6871187480827441, 0.717591116688559, 0.7417741256463138, 0.7613386267312631, 0.7774508542286946, 0.7909291526912335, 0.8023584536085686, 0.8121657577175372, 0.8206690815688005, 0.8281096126974531, 0.8346732773701779, 0.0846116353535281, 0.6414835664944986, 0.7885922093342983, 0.8157977790195782, 0.12679359157311493, 0.33246905170204144, 0.0545646571919509, 0.5400003940583702, 0.10584397517259017, 0.041058073155793545, 0.02741775587674705, 0.02197336488699483, 0.01856156683269041, 0.016017018638847403, 0.014012949048947928, 0.012397772958509825, 0.4465227260756833, 0.07348023973867929, 0.5168652715137075, 0.09944358494964203, 0.03260674061821108, 0.021089804734792796, 0.018012669340924454, 0.016416051859444194, 0.015189918953565704]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.8553681754960674, 0.8950657433952823, 0.18369316699466273, 0.05090821244277814, 0.6346438347814473, 0.8385049444787495, 0.8839589440265622, 0.9010869189778374, 0.9121039419415566, 0.9206243781920403, 0.26750118364850023, 0.7648011182188302, 0.2437651564730151, 0.7238555191378443, 0.8560592230298417, 0.8852412214294855, 0.8950914575762656, 0.7422734575069296, 0.8662570273801639, 0.37425113670344606, 0.7622550568515302, 0.35628222673250515, 0.5201946391806963, 0.25399936983357685, 0.4703087600019268, 0.7732384308620444, 0.36601431611025703, 0.5183113175136952, 0.5725647076995952, 0.5914476946388124, 0.5978799751441026, 0.6000646742250525, 0.600839768141503, 0.6011555179711396, 0.6013208455948752, 0.6014338125933091, 0.6015252206926347]"
8,"[0.3333333333333333, 0.5232928834663807, 0.5969411398409169, 0.04420183501732077, 0.4593038637133324, 0.5863290560752573, 0.6307620746086995, 0.6582386772177998, 0.680110274345764, 0.6986642426244356, 0.7146922358004858, 0.7286649538153825, 0.7409324909982004, 0.10118047147114292, 0.5660669642459363, 0.10784957963294625, 0.5359171289929205, 0.6603902989165696, 0.690910893952917, 0.7023289546377041, 0.5005668156758883, 0.10504523067756526, 0.056101291445762924, 0.043325815217711804, 0.036629977624952216, 0.03182309530268845, 0.028002445345550155, 0.024868429233979476, 0.02226239361289688, 0.020074654359420737, 0.018222411282980615, 0.016641586600535878, 0.015282100706285582, 0.01410453122811008, 0.013077625147096475, 0.4627516375342051, 0.06830316928362813, 0.5148211224907591, 0.08744935561859747, 0.030738704061511045]","[0.15000000000000008, 0.009219171117775144, 0.36613981071968843, 0.5530280194153558, 0.6736265877142662, 0.07464926624504405, 0.5188660895738963, 0.6679923668645493, 0.1190281007169201, 0.5207297175856308, 0.12648508042403941, 0.4921246067675282, 0.6005687494440451, 0.637146458700109, 0.657349379118306, 0.673116608505072, 0.6869343304618769, 0.18927260198182136, 0.5510000240450338, 0.6381897641736423, 0.4751554920876253, 0.1671532748514048, 0.12497383601557722, 0.33962315510263896, 0.13799695681406626, 0.3341911241649344, 0.3780276257454988, 0.38776750482075867, 0.13874384299444836, 0.3307750944917841, 0.3701584552157044, 0.37820259141434714, 0.3798439844108606, 0.3802056458023053, 0.380315300225075, 0.3803736427481416, 0.3804191006587759, 0.38045914895622446, 0.38049548294187485, 0.3805287093013502]"
9,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.33093483185477257, 0.4808073738564133, 0.5469370708891961, 0.5913273493848075, 0.6266526108023077, 0.6560033353705922, 0.6807398337639124, 0.059370435629013035, 0.48239808421473584, 0.6210734161523189, 0.6606394996270606, 0.6786206415180228, 0.6916178355668902, 0.7028040209208642, 0.7128464756769763, 0.7219593140766832, 0.7302661919756596, 0.4995586056147518, 0.053418125380609485, 0.024166938071377948, 0.01840673172607562, 0.4944802234858076, 0.06027843543906565, 0.02656228388293046, 0.4743595329048299, 0.07015785893844569, 0.48943537117141706, 0.08708642468770822, 0.042580995114438906, 0.033969816761613446, 0.030298954590558685, 0.43751482342735715, 0.08319741774979557, 0.4655321448744017, 0.6195081971738898, 0.12802211408750985, 0.059327921230129595]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.8553681754960674, 0.8950657433952823, 0.9175595729807371, 0.9317592067634707, 0.21726341409910033, 0.7874229742218849, 0.9041167282899334, 0.925057385666318, 0.9331557607945699, 0.9388249302254023, 0.9434541947666073, 0.947365642819751, 0.9507200571275736, 0.9536286672469039, 0.9561745989596495, 0.28063872388945266, 0.8299557227746687, 0.786779955432928, 0.2520948923125072, 0.7927176800162405, 0.3018324136630771, 0.12749909953713956, 0.7030046630059096, 0.8775249602185593, 0.391407740055388, 0.18415459200120884, 0.11969473516936893, 0.3845514450059934, 0.1605223602971049, 0.3968581304748548, 0.1577639469830843, 0.3878944347151671, 0.15023975274542808, 0.377023517741141, 0.1429430218863294, 0.36670129082355113, 0.47596312823480785]"
