,biased_B,Type1_depressed
0,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.0043912230018165925, 0.003407181605428786, 0.0027910743875814085, 0.002361159611523848, 0.002042004990386318, 0.0017956860200100053, 0.0016002185311180287, 0.027745545803431963, 0.0021093457647284046, 0.027478453807910617, 0.3915632193252794, 0.015672421655743656, 0.003776950278727393, 0.03467688369757737, 0.003390860506425381, 0.03227720085337086, 0.003194147925320815, 0.031036166765354426, 0.4203940169047917, 0.021316138973314473, 0.005093359415343973, 0.03673289083544723, 0.004602166091689601, 0.03472184376860572, 0.04720323555984378, 0.46352810550336004, 0.029400719624536262, 0.4193293524109842, 0.03531434580157301, 0.0661241969721212, 0.07086447631964445, 0.07202238369693625, 0.07257177283115447, 0.07296551685335206, 0.0732960145275129, 0.07359016736393298, 0.07385829802866052]","[0.15000000000000008, 0.6089133951708787, 0.05233734300846486, 0.019640124916037352, 0.012798566883920887, 0.4623706662026926, 0.051059315034292806, 0.1355749189843632, 0.025112684350708993, 0.11469976647383469, 0.14172825164086475, 0.1498091749364365, 0.15231346007467333, 0.15323343312022034, 0.15369170987373676, 0.15399214618564633, 0.15421960329576728, 0.15440217568724157, 0.15455251614228327, 0.15467817250762395, 0.15478437555477587, 0.15487498524496127, 0.154952933847396, 0.15502048918537714, 0.1550794298127307, 0.15513116740727892, 0.1551768345093421, 0.1552173485589671, 0.15525345933667295, 0.15528578457577735, 0.1553148370165254, 0.15534104518403116, 0.15536476950669198, 0.1553863149361197, 0.5635851580149633, 0.6323347233172346, 0.05229010371718787, 0.155694212974324, 0.17204889567008072, 0.1745637366893379]"
1,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.0043912230018165925, 0.31357137667845286, 0.015945433113291847, 0.00738780297732365, 0.30623334209743064, 0.02034895714348587, 0.010157025629593915, 0.008326651025378575, 0.007336386979533921, 0.006611304961419731, 0.006022829233067016, 0.005527242042897367, 0.050215556698594316, 0.0068727791674636435, 0.04971258100046678, 0.006631951096707662, 0.047922262192578745, 0.0602456212961043, 0.3606050388125892, 0.5196968665567681, 0.5935087187646222, 0.6416399610259157, 0.6796161020576446, 0.7111803330904467, 0.73770619440736, 0.06304020735424311, 0.013531849558296534, 0.36522235578447554, 0.6165377801941552, 0.7015321992200168, 0.08386382172382982, 0.4357070434823546, 0.6216393391371168, 0.6841497644193909, 0.7083939797140604, 0.7226514715117328, 0.7339540199556873]","[0.15000000000000008, 0.009219171117775144, 0.004603762521617925, 0.0030554618329805367, 0.04028503148633128, 0.04719427972311426, 0.04940715485253552, 0.05040869585336012, 0.05094467093279974, 0.051269665853210696, 0.05148888227134888, 0.05164864454362903, 0.05177101039212987, 0.051867751464674525, 0.051945922395309214, 0.052010141669125896, 0.05206361366988031, 0.05210864737185098, 0.05214695151709075, 0.05217981700427796, 0.05220823582588723, 0.0522329815121373, 0.052254665033320095, 0.05227377450350982, 0.05229070390516559, 0.052305774208349406, 0.05231924912207487, 0.052331346994129835, 0.05234224990643757, 0.05235211070109691, 0.05236105846100615, 0.05236920282352306, 0.052376637403940635, 0.05238344253350996, 0.052389687465039275, 0.052395432161569985, 0.052400728756091655, 0.05240562274985551, 0.05241015400158177, 0.052414357548344684]"
2,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.0043912230018165925, 0.003407181605428786, 0.0027910743875814085, 0.2966576478278863, 0.013396467319462214, 0.0054618683521235455, 0.004217450792579164, 0.0036468015954690975, 0.0032643916159869695, 0.03983422232609654, 0.38945140854106236, 0.019550493027495203, 0.006204533839331483, 0.048183323550660594, 0.006197552420135622, 0.045996911887748154, 0.005901696153070762, 0.04431585875731551, 0.410034127103815, 0.5968373977332391, 0.6723058370305687, 0.7180127773071308, 0.7518719669405068, 0.06608258887573022, 0.012401290707620215, 0.06842878465142152, 0.5039271605642016, 0.7130476540468316, 0.7663727932615217, 0.09521339468686373, 0.5172768119736288, 0.7069883450259583, 0.7552357186525445, 0.7734260128467879, 0.7855285283570953, 0.7956975556118564, 0.12765747770111582]","[0.15000000000000008, 0.009219171117775144, 0.004603762521617925, 0.31891910155662434, 0.014952924751301104, 0.0827722513336699, 0.0935926670193394, 0.09594813059918025, 0.0967520709830867, 0.09716056247391405, 0.09742324065280049, 0.097612559738517, 0.0977567087123336, 0.09786989319725299, 0.09796065038347741, 0.09803462960950753, 0.09809576687962718, 0.09814689353919974, 0.0981900948406643, 0.09822693644798346, 0.09825861354550981, 0.09828605188693856, 0.09830997788581329, 0.09833096820860172, 0.0983494854839679, 0.09836590441990628, 0.09838053117621984, 0.09839361791896191, 0.09840537388345191, 0.0984159738739238, 0.09842556485849098, 0.09843427113315056, 0.09844219839969898, 0.09844943701146967, 0.09845606457579562, 0.09846214805510967, 0.09846774547426333, 0.09847290731631844, 0.09847767767020185, 0.098482095179445]"
3,"[0.3333333333333333, 0.013908388659802021, 0.36173709838113216, 0.0223493561542572, 0.011330598514190568, 0.3250879281415763, 0.026449845809668072, 0.014568473730993027, 0.308800720975186, 0.031019908545122394, 0.30789115276439294, 0.038319289889076194, 0.023815463260013055, 0.020781129470048395, 0.0188895474960978, 0.28864975771222606, 0.39810930089745833, 0.04809539121984885, 0.027706057617923267, 0.024547339595977886, 0.09940158818189078, 0.3144925177715983, 0.04760298992406714, 0.282527738737954, 0.3595813952064995, 0.3841637567107083, 0.39583643969813814, 0.40444989711859114, 0.41216833476974063, 0.41945029296850783, 0.4263991518803632, 0.4330463762434635, 0.43940870032598656, 0.44549948435705145, 0.4513309935384264, 0.07275412564947961, 0.3461616413864883, 0.4143352767080614, 0.4316769453017409, 0.43824510219118296]","[0.15000000000000008, 0.009219171117775144, 0.004603762521617925, 0.0030554618329805367, 0.04028503148633128, 0.04719427972311426, 0.04940715485253552, 0.05040869585336012, 0.05094467093279974, 0.051269665853210696, 0.05148888227134888, 0.05164864454362903, 0.05177101039212987, 0.051867751464674525, 0.051945922395309214, 0.052010141669125896, 0.05206361366988031, 0.05210864737185098, 0.05214695151709075, 0.05217981700427796, 0.05220823582588723, 0.0522329815121373, 0.052254665033320095, 0.05227377450350982, 0.05229070390516559, 0.052305774208349406, 0.05231924912207487, 0.052331346994129835, 0.05234224990643757, 0.05235211070109691, 0.05236105846100615, 0.05236920282352306, 0.052376637403940635, 0.05238344253350996, 0.052389687465039275, 0.052395432161569985, 0.052400728756091655, 0.05240562274985551, 0.05241015400158177, 0.052414357548344684]"
4,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.0043912230018165925, 0.003407181605428786, 0.0027910743875814085, 0.002361159611523848, 0.002042004990386318, 0.0017956860200100053, 0.0016002185311180287, 0.027745545803431963, 0.0021093457647284046, 0.027478453807910617, 0.002028980639007854, 0.026242350334656862, 0.0019243324255489899, 0.025088414504774104, 0.0018307781425324018, 0.024070803034486648, 0.0017485628052093763, 0.02316910859888445, 0.363828549483277, 0.5686823316093444, 0.6552694972532725, 0.70707147351551, 0.7433791229313657, 0.7705193873890407, 0.053504169185458285, 0.4893781361346922, 0.7059751110844849, 0.7568601689714515, 0.7757451887664136, 0.0881829778683768, 0.5135164021990153, 0.7109148424398921, 0.10750270175211016, 0.49411676068182214, 0.682180127724765, 0.7298860963843421, 0.7448129854038477]","[0.15000000000000008, 0.009219171117775144, 0.004603762521617925, 0.31891910155662434, 0.014952924751301104, 0.0827722513336699, 0.0935926670193394, 0.09594813059918025, 0.0967520709830867, 0.09716056247391405, 0.09742324065280049, 0.097612559738517, 0.0977567087123336, 0.09786989319725299, 0.09796065038347741, 0.09803462960950753, 0.09809576687962718, 0.09814689353919974, 0.0981900948406643, 0.09822693644798346, 0.09825861354550981, 0.09828605188693856, 0.09830997788581329, 0.09833096820860172, 0.0983494854839679, 0.09836590441990628, 0.09838053117621984, 0.09839361791896191, 0.09840537388345191, 0.0984159738739238, 0.09842556485849098, 0.09843427113315056, 0.09844219839969898, 0.09844943701146967, 0.09845606457579562, 0.09846214805510967, 0.09846774547426333, 0.09847290731631844, 0.09847767767020185, 0.098482095179445]"
5,"[0.3333333333333333, 0.013908388659802021, 0.36173709838113216, 0.0223493561542572, 0.011330598514190568, 0.008651009943479344, 0.31398087552681403, 0.4576309462829308, 0.03578373577776276, 0.017040701318209932, 0.013801985727553163, 0.012069130320890239, 0.010798937903974385, 0.009772453710299583, 0.008913594048647014, 0.3141766382577674, 0.0276309207827585, 0.01316050398242097, 0.011070629032443359, 0.06979713593892752, 0.08813089869408483, 0.014569850162410641, 0.07088940744141359, 0.01331419718461655, 0.06835435863128853, 0.3791280331260935, 0.5258050704990779, 0.5864013527556893, 0.623764159394494, 0.6537904445189148, 0.06272254264441456, 0.40221125845700073, 0.5697636889723816, 0.6278468828021473, 0.08008873060797918, 0.02789908029123258, 0.11288162214119137, 0.4396179751302847, 0.5885047595858758, 0.6378890290937245]","[0.15000000000000008, 0.009219171117775144, 0.004603762521617925, 0.31891910155662434, 0.014952924751301104, 0.0827722513336699, 0.0935926670193394, 0.09594813059918025, 0.0967520709830867, 0.09716056247391405, 0.09742324065280049, 0.097612559738517, 0.0977567087123336, 0.09786989319725299, 0.09796065038347741, 0.09803462960950753, 0.09809576687962718, 0.09814689353919974, 0.0981900948406643, 0.09822693644798346, 0.09825861354550981, 0.09828605188693856, 0.09830997788581329, 0.09833096820860172, 0.0983494854839679, 0.09836590441990628, 0.09838053117621984, 0.09839361791896191, 0.09840537388345191, 0.0984159738739238, 0.09842556485849098, 0.09843427113315056, 0.09844219839969898, 0.09844943701146967, 0.09845606457579562, 0.09846214805510967, 0.09846774547426333, 0.09847290731631844, 0.09847767767020185, 0.098482095179445]"
6,"[0.3333333333333333, 0.013908388659802021, 0.36173709838113216, 0.4885226408964158, 0.5452943427542166, 0.041379546926881595, 0.019136898451196857, 0.014456236283701277, 0.011884580421769778, 0.010109182865289676, 0.008771413302417609, 0.007721076373933088, 0.006876272968213252, 0.006184649714516858, 0.34595593893458054, 0.02711218888643205, 0.010601317033930887, 0.008290589507060265, 0.33268056861430323, 0.030665685197166965, 0.08857567253690642, 0.41844508297456146, 0.5705421580873841, 0.059055134371836425, 0.3887719806317703, 0.5415353122581343, 0.5962426366195418, 0.6241019089273592, 0.6448361779038563, 0.6628500403113811, 0.6791346188258098, 0.6939812345185464, 0.7075417716422027, 0.7199377965278846, 0.7312799014799444, 0.7416702771086339, 0.7512026887406524, 0.7599624046126403, 0.7680264054994136, 0.7754638214533672]","[0.15000000000000008, 0.6089133951708787, 0.7775522670528153, 0.10874104355195065, 0.03510061007438395, 0.02129174595381254, 0.015568067143603622, 0.012256150979193678, 0.09927617596851165, 0.015627633122880222, 0.09320840160808896, 0.13032240455280014, 0.01614705623068394, 0.0909712674972709, 0.1233489017724627, 0.014767964705522316, 0.08785248432892688, 0.11707976583754114, 0.12795525486786818, 0.1319113570775569, 0.13340630418580612, 0.014787128441825474, 0.09171509832102906, 0.11675553523953046, 0.1243347851486634, 0.12659057421840444, 0.12730374066817854, 0.1275803007072219, 0.12773054056433222, 0.12783925584729045, 0.12792972933853966, 0.12800891779926926, 0.12807946026422698, 0.1281427814561066, 0.12819988794551593, 0.12825158285662472, 0.12829853529154295, 0.1283413117636854, 0.12838039582210822, 0.12841620255883948]"
7,"[0.3333333333333333, 0.013908388659802021, 0.36173709838113216, 0.0223493561542572, 0.011330598514190568, 0.3250879281415763, 0.026449845809668072, 0.014568473730993027, 0.0119453220140926, 0.010357222814607351, 0.009170093109647278, 0.008219187304109065, 0.007434786284948944, 0.006776987383077704, 0.0062186657448033145, 0.005739947578325927, 0.05067434884951358, 0.007236016270015041, 0.05026216328535906, 0.006986055150934156, 0.0485038547857874, 0.0066940036836029585, 0.046859304792413334, 0.05930846893754976, 0.382071834443381, 0.022493046763008576, 0.06048864211851462, 0.0692395191781938, 0.4036314463112739, 0.02862556979522588, 0.06750947685396959, 0.076453903880232, 0.07880086151596614, 0.07955417132548757, 0.07989877800192476, 0.08012952607849756, 0.08032149168987135, 0.08049439477113092, 0.08065397284560978, 0.08080240568438278]","[0.15000000000000008, 0.6089133951708787, 0.05233734300846486, 0.5567226755718055, 0.08025905786253397, 0.036108082321732266, 0.02612964097066195, 0.13454033814044014, 0.02848380957081172, 0.12414501992962418, 0.5576084323082624, 0.7153730633690012, 0.1157649802836592, 0.1901057479502808, 0.6076264648662244, 0.11920296789542698, 0.20094281928943, 0.22773281974698417, 0.23652884183060996, 0.23943844764104572, 0.24047871063671056, 0.2409337039737385, 0.24119766880231905, 0.24138893821336774, 0.24154393113224557, 0.2416753579709164, 0.24178893966519382, 0.2418880899095539, 0.2419752499133988, 0.24205231362791377, 0.24212080047678056, 0.24218194924467704, 0.24223678038417498, 0.2422861414073468, 0.2423307412682964, 0.24237117690303486, 0.24240795396532697, 0.2424415031850324, 0.2424721933833682, 0.24250034190914263]"
8,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.0043912230018165925, 0.003407181605428786, 0.303202944629341, 0.4831682449318956, 0.026766388326171245, 0.009888000321628143, 0.00737997999666978, 0.006277469941965741, 0.005556555567277003, 0.0050002627140540825, 0.0045440920660632005, 0.004160657591688721, 0.04611835782319045, 0.005505242186431093, 0.04609914429215, 0.005335602041803611, 0.04445517861569513, 0.05894751657009684, 0.396296779100202, 0.5762801072221978, 0.6503049678999859, 0.6944406182702175, 0.7273887679847294, 0.7537685270688465, 0.7753815776100454, 0.7933224076578614, 0.8083823267518941, 0.8211577482436088, 0.8321030986475952, 0.07608034188930544, 0.5383172230222192, 0.7589557477034563, 0.09495727411427549, 0.5206189874001992, 0.7311351592963549, 0.7848471421767844, 0.8005637145384512]","[0.15000000000000008, 0.009219171117775144, 0.004603762521617925, 0.0030554618329805367, 0.04028503148633128, 0.04719427972311426, 0.04940715485253552, 0.05040869585336012, 0.05094467093279974, 0.051269665853210696, 0.05148888227134888, 0.05164864454362903, 0.05177101039212987, 0.051867751464674525, 0.051945922395309214, 0.052010141669125896, 0.05206361366988031, 0.05210864737185098, 0.05214695151709075, 0.05217981700427796, 0.05220823582588723, 0.0522329815121373, 0.052254665033320095, 0.05227377450350982, 0.05229070390516559, 0.052305774208349406, 0.05231924912207487, 0.052331346994129835, 0.05234224990643757, 0.05235211070109691, 0.05236105846100615, 0.05236920282352306, 0.052376637403940635, 0.05238344253350996, 0.052389687465039275, 0.052395432161569985, 0.052400728756091655, 0.05240562274985551, 0.05241015400158177, 0.052414357548344684]"
9,"[0.3333333333333333, 0.013908388659802021, 0.006290616922110599, 0.0043912230018165925, 0.003407181605428786, 0.303202944629341, 0.014438121102327015, 0.006272592556324927, 0.004883976214714401, 0.004194524513348274, 0.0037211456406686543, 0.0033509404791900233, 0.003046730006157399, 0.03791326018739088, 0.0039209658197944764, 0.03763496854007544, 0.3850078959892857, 0.018484477154889687, 0.005518333583426027, 0.04356326069620672, 0.05657043034296267, 0.43273495055049105, 0.6136212697781916, 0.6869737104616419, 0.0525116613368904, 0.4375226550643338, 0.6349191413813366, 0.6975694117772594, 0.7278424376207314, 0.08784961872647211, 0.4716437327595146, 0.6565321028937826, 0.7101018600847205, 0.1121062992303013, 0.4726182133055427, 0.642335430284931, 0.6927950605561534, 0.7119974561216196, 0.7240233954360413, 0.7339865860930782]","[0.15000000000000008, 0.6089133951708787, 0.05233734300846486, 0.019640124916037352, 0.012798566883920887, 0.009535428928509908, 0.08097682852058273, 0.01058312573032851, 0.07328220013673949, 0.09492106719176759, 0.10240000243456185, 0.10508756965473111, 0.10620266576241189, 0.1067893906530839, 0.10717379299292326, 0.10746020602655626, 0.10768681065854999, 0.10787134187929967, 0.1080241981446592, 0.010729260145769984, 0.08599238961030918, 0.0997623171226342, 0.10222018841744478, 0.1026890364702244, 0.1028183276409524, 0.10288678756735352, 0.10294027619205277, 0.10298671459205103, 0.10302797462856267, 0.10306490300218146, 0.10309810157723352, 0.10312805945318747, 0.103155186325296, 0.1031798287711694, 0.10320228176788768, 0.10322279768665786, 0.10324159348788596, 0.10325885653225778, 0.10327474930644566, 0.10328941328979249]"
