,biased_B,Type1_depressed
0,"[0.3333333333333333, 0.8132849247979292, 0.31982291118608447, 0.1885650365116232, 0.1537479156976623, 0.7339798680748955, 0.8295545269781968, 0.34372449085054074, 0.21418939087397346, 0.1827241424424717, 0.16839536929825485, 0.15750362474753848, 0.14802817317706446, 0.6833062357354249, 0.285128310321688, 0.6837621749496704, 0.31057648110171726, 0.22189751253690576, 0.20104029414893204, 0.19319811406668722, 0.369157644527695, 0.6817690303453051, 0.7460396845163794, 0.7693286205405742, 0.7840774231335361, 0.796241095726373, 0.8070280629523373, 0.8167557165603982, 0.8255700430683246, 0.32402951483221104, 0.7224210813237303, 0.7990394632719384, 0.8173908298595493, 0.8258181583105316, 0.8322454949399285, 0.8379767385098214, 0.3302424486061603, 0.7347660939337582, 0.8125529053456667, 0.8288654605971126]","[0.8, 0.24403591839968797, 0.085448249735078, 0.042786853851180195, 0.02727976517424278, 0.6409451034679267, 0.851139228924322, 0.9054917237784056, 0.26701640281815076, 0.07783530347819924, 0.04397730403248046, 0.034491835361377766, 0.029343282022009295, 0.02562358359744974, 0.022717258737846996, 0.020377409450627857, 0.018456847047955274, 0.5620695000881435, 0.12889878387912912, 0.040609465459296945, 0.14007732785577864, 0.6688323585608713, 0.8539185928374435, 0.8935300502893325, 0.908717787379727, 0.6761342995546679, 0.8856652057869235, 0.6771605792246229, 0.1509660346755907, 0.04304882468857591, 0.6206214408375692, 0.16577928682328574, 0.6837711939823362, 0.5537067344578722, 0.8322904172156483, 0.631384967183594, 0.5280484960190648, 0.8299229246081885, 0.6314224694832046, 0.5330101140275469]"
1,"[0.3333333333333333, 0.11896858703837078, 0.07984972890906598, 0.7208889875382632, 0.2240925182836267, 0.7137208603243014, 0.2672684886360378, 0.16600037372495685, 0.14245488839440457, 0.6498973679091792, 0.26785484135483717, 0.1846263884459694, 0.16534644850172828, 0.15658511503842978, 0.14981054435890406, 0.1437732884578275, 0.13826226650204124, 0.13320666030688794, 0.12855749020881269, 0.12427287613608619, 0.2890729991793986, 0.6538295320675162, 0.7389481416312972, 0.77060332647271, 0.2638383826832645, 0.6489760239595768, 0.7391488916858863, 0.7677468431266901, 0.7834436123922914, 0.7957452141581088, 0.8065389811785614, 0.2817095128481909, 0.6799736105709918, 0.772541388672254, 0.7963092753044002, 0.8069260073953525, 0.8147423777725797, 0.8216208692091385, 0.8279233113561731, 0.8337499118035872]","[0.8, 0.24403591839968797, 0.085448249735078, 0.042786853851180195, 0.02727976517424278, 0.019693763508521884, 0.6149273990699775, 0.11406673488489193, 0.037177368475171314, 0.025759994058915558, 0.5433993635910893, 0.11578094775061569, 0.5716292193518694, 0.14561744281576308, 0.552417233285704, 0.16285732827494062, 0.08316911603062209, 0.4781221315526483, 0.16103809536126354, 0.09547954549035628, 0.20525221961036513, 0.5369846934414928, 0.6588653258655257, 0.4162589645485454, 0.6348740625632604, 0.41705329402637603, 0.6449276757284218, 0.4278934127695097, 0.6567758423272549, 0.43886977743064753, 0.37276108315114376, 0.6503758395298833, 0.44091586720233544, 0.38073484758006576, 0.1607876204604174, 0.123699080595699, 0.5610623381186584, 0.409112009586637, 0.3676081741410223, 0.3563491161528666]"
2,"[0.3333333333333333, 0.11896858703837078, 0.07984972890906598, 0.06432337187736391, 0.053816965952326046, 0.7005860821386968, 0.18920042717443947, 0.08907480111289186, 0.6536526413826342, 0.21186965803026814, 0.11707298084744075, 0.09797424554744869, 0.09029690741984707, 0.08463570606953849, 0.07973244815417034, 0.07537111539958252, 0.5946128704958756, 0.7565442909512454, 0.24351555736592534, 0.12201942582536614, 0.2687544867886393, 0.6489803254659484, 0.7570853220975317, 0.794395716022957, 0.8146461371274426, 0.8298224325879892, 0.842594040236517, 0.8536857271847448, 0.863413494000805, 0.8719900217715768, 0.2749379191962132, 0.7161794500969227, 0.8320399008228659, 0.8593736226315059, 0.8693367621897241, 0.8757822065713806, 0.881207195337445, 0.8860862527664176, 0.284607220382386, 0.10669671496145182]","[0.8, 0.95031706851728, 0.5060833882109878, 0.2986399528671472, 0.19786796233834172, 0.14146992338839262, 0.10715882930300981, 0.7317052838702648, 0.28169360001665034, 0.7425806721499135, 0.3217426791257938, 0.7221260883887379, 0.3449218093474267, 0.2349561758400467, 0.6589761784310391, 0.7632853321696365, 0.5808502097980756, 0.5262779507505663, 0.28842234331604893, 0.6763503603349136, 0.5495072194975539, 0.5157953392680328, 0.5071886488874975, 0.5049961623130413, 0.5043780530380545, 0.5041408279990253, 0.5040014021939876, 0.5038938851615595, 0.50380228290406, 0.503721840290115, 0.5036504276972908, 0.5035866568083383, 0.5035294522191577, 0.5034779332768949, 0.5034313652121569, 0.5033891293829105, 0.5033507015074901, 0.5033156347498163, 0.5032835462980214, 0.5032541066024958]"
3,"[0.3333333333333333, 0.11896858703837078, 0.73792911956902, 0.8513535967532735, 0.3112458941328549, 0.16455306005576834, 0.13027291368427263, 0.1136954268987943, 0.10107643766139952, 0.09058808112484273, 0.08177155416601375, 0.07432455472963527, 0.06799709335905932, 0.06258452000795037, 0.057922035874435125, 0.6479085622756239, 0.18968673242982667, 0.09201031487914285, 0.07413989624516257, 0.6100623508000329, 0.45862512255172216, 0.7268996052754504, 0.797172891824094, 0.8238344900749246, 0.8401633299016402, 0.8530107855869872, 0.863924134979916, 0.29385419629186926, 0.7172551674327167, 0.2633231960675507, 0.13196725374912516, 0.10106650719319447, 0.6159152503191194, 0.782577396529269, 0.8245073845787537, 0.8391125978029643, 0.8479216065020875, 0.8551233838423135, 0.861544883042404, 0.8673880723857632]","[0.8, 0.24403591839968797, 0.085448249735078, 0.7376565078916956, 0.2002090567318271, 0.08686520060904895, 0.05939668055944772, 0.6184545309585134, 0.17873209468739024, 0.6309098685836335, 0.21338351348333792, 0.11937191611339397, 0.09608260399950157, 0.08570446097653425, 0.07834801274881961, 0.07227044399146917, 0.06705620202196695, 0.06252568599548416, 0.05855888846013663, 0.055063152893275166, 0.17397872294818206, 0.5760982132308246, 0.7231446670306881, 0.7738491127801566, 0.8013455093941877, 0.23589871990323794, 0.6214469628809568, 0.44870358160301466, 0.37811472159831666, 0.3504353205993392, 0.6739652540610115, 0.4655207523787591, 0.3901836980163566, 0.3633696386756103, 0.3540400439081201, 0.35083272703491547, 0.3497102957182018, 0.3492822610825178, 0.34908358637370973, 0.3489627024859895]"
4,"[0.3333333333333333, 0.11896858703837078, 0.07984972890906598, 0.06432337187736391, 0.71044777697967, 0.8483180271711253, 0.27360323576554507, 0.1216866802361816, 0.09227964516873823, 0.08103896999352499, 0.07305336713572619, 0.06644000305927311, 0.0608258963432696, 0.05601884447428087, 0.05187288020334003, 0.048271883874995064, 0.04512312051108131, 0.04235223916745347, 0.03989929427085796, 0.03771564739272783, 0.18567520016704142, 0.6835366329588533, 0.17446664521022903, 0.6462055558412395, 0.7999811946124954, 0.24243540323607685, 0.6540516434122843, 0.7860103005011856, 0.8263857941426658, 0.276301858961727, 0.11527971134325807, 0.5791203379475581, 0.21400801048823248, 0.6056297835538778, 0.7433113088315505, 0.7856859694518431, 0.8036613210213372, 0.29836036783922176, 0.6450195154988514, 0.7573167826915527]","[0.8, 0.24403591839968797, 0.085448249735078, 0.042786853851180195, 0.02727976517424278, 0.019693763508521884, 0.015273798678264, 0.5965354830196494, 0.10247343178566921, 0.6166619710114392, 0.13678218248597207, 0.05026191797649256, 0.5246779479796384, 0.13626409283163238, 0.06288719507906222, 0.048578437477281196, 0.043532063750081944, 0.040216520100165194, 0.037479879234360906, 0.03510242666281778, 0.1330375612601405, 0.5903269392659445, 0.14229152712958884, 0.5586734892071309, 0.7298137137644238, 0.7869010118964078, 0.8158677315708592, 0.8366678294309142, 0.5576011144578273, 0.7942310168754574, 0.5510370609795338, 0.7995587967096989, 0.5627621436174444, 0.8082325519692678, 0.5750492725076857, 0.8161940641838993, 0.5863407488325888, 0.8232471766873417, 0.5966411540290467, 0.829521569246508]"
5,"[0.3333333333333333, 0.11896858703837078, 0.07984972890906598, 0.06432337187736391, 0.053816965952326046, 0.04577440838062412, 0.691320576782192, 0.17586426673291636, 0.0778742317240963, 0.061876419566817505, 0.05566879482919603, 0.6297132562103401, 0.1793806008127363, 0.08831951467381297, 0.07207675438107161, 0.5880438477126652, 0.1890707463448353, 0.1043173387455933, 0.08769500178532282, 0.08233720099160756, 0.22988122134039762, 0.10786117507865615, 0.5359537285871946, 0.1861019784310958, 0.542348609550547, 0.20338491768561057, 0.5256209365768005, 0.6360516048691524, 0.6781043602559728, 0.701307447936897, 0.718941482854221, 0.7343209756929954, 0.7482829182051175, 0.7610788697523512, 0.25064506133013204, 0.13397826333007581, 0.5501932764519581, 0.6899831442024271, 0.7319779365763652, 0.26054919395626064]","[0.8, 0.95031706851728, 0.5060833882109878, 0.2986399528671472, 0.8401878157059871, 0.4073586693696315, 0.27320053209079326, 0.219815661152905, 0.18678561902896623, 0.16235952338878104, 0.1432918689132879, 0.1280540624630548, 0.11567284939966731, 0.10546604577529256, 0.09694054775434838, 0.08973391610429708, 0.08357592590342883, 0.07826231624928873, 0.07363662087414348, 0.06957745413885062, 0.20852080819117572, 0.7069232042412456, 0.8260305674887217, 0.8581813779410907, 0.29370166615029325, 0.12701410331444582, 0.6574305544397998, 0.8116585711603302, 0.3112236924472468, 0.7050473051939184, 0.521175190384467, 0.7670790793168726, 0.5517860411161707, 0.7785135787720675, 0.5634214398378028, 0.4767311100401477, 0.21318095766246822, 0.6739946688881159, 0.5204696164946022, 0.45997630321879374]"
6,"[0.3333333333333333, 0.8132849247979292, 0.31982291118608447, 0.78304614270317, 0.34849984927088407, 0.7609387908795091, 0.8237775275027476, 0.8475113757077537, 0.861208604539832, 0.8713692235179079, 0.40324597785908683, 0.26018818779500075, 0.2207809289022404, 0.2008137885147673, 0.1850056696667577, 0.17110361372986765, 0.15872335562700107, 0.14769730047064875, 0.13787818492753165, 0.12912633671424112, 0.3729171144008504, 0.7699005882892097, 0.30514610454520685, 0.7366822788748342, 0.817826742042144, 0.8389429936380939, 0.8491182321553963, 0.346948608364447, 0.7477457934926963, 0.8236193117828814, 0.3596746184210287, 0.7380591101163715, 0.8121100324494464, 0.8294761213864694, 0.8369694363936493, 0.8424993233384749, 0.8473997739708202, 0.851915752019359, 0.36268416109034735, 0.7533970724411886]","[0.8, 0.95031706851728, 0.5060833882109878, 0.2986399528671472, 0.19786796233834172, 0.794731471914326, 0.3543766390660721, 0.22287522879424188, 0.17815280681425177, 0.15327470342565178, 0.13524655353622447, 0.12103481213889951, 0.10949018743257058, 0.09995089035616087, 0.6695191438390441, 0.8143401693412816, 0.3140486679824382, 0.1669524978607856, 0.1303182787891719, 0.11812398006250462, 0.27532573576096153, 0.14573468589127134, 0.6502964123781398, 0.7830021493056734, 0.8181736520521583, 0.8360392767528865, 0.5829482870961228, 0.8052947406604317, 0.5828349374250138, 0.22718585809249583, 0.709551754148246, 0.5472490164420707, 0.48533953258157414, 0.46254029295395266, 0.7736183321046854, 0.5686750486933311, 0.49867979198320345, 0.47480648196832914, 0.46680052585160237, 0.4641402128717111]"
7,"[0.3333333333333333, 0.11896858703837078, 0.07984972890906598, 0.06432337187736391, 0.053816965952326046, 0.04577440838062412, 0.0394876653641965, 0.03452079229525222, 0.03054683576298691, 0.027322743353340777, 0.024670603922037574, 0.02246037846818319, 0.020596306290023084, 0.01900704736180019, 0.017638755842427717, 0.6481539424569449, 0.1189763273294084, 0.03574393975887458, 0.0262722009832171, 0.6020055969424005, 0.43634845288035107, 0.7806763570230741, 0.21971430706209846, 0.670520768991058, 0.8176611779669742, 0.8613423114939216, 0.8813628191850695, 0.894944481775418, 0.9056574901260785, 0.9144860893369594, 0.92188686007653, 0.29446022235208474, 0.7621845899907173, 0.24106037934483415, 0.7171429368384916, 0.863960480032747, 0.8964895532460807, 0.9066236916801936, 0.9125047986662466, 0.9172596700422117]","[0.8, 0.24403591839968797, 0.085448249735078, 0.042786853851180195, 0.02727976517424278, 0.6409451034679267, 0.851139228924322, 0.22440029770261707, 0.06996895250006073, 0.04300922194747643, 0.034661250000162694, 0.02976649059082452, 0.026139474154154272, 0.5555642619009884, 0.13321466860738404, 0.6027918687140766, 0.1688986267188369, 0.07112875953835339, 0.05162127456338441, 0.04583934646674737, 0.15939166136476976, 0.06559731184161151, 0.474764153741154, 0.14419636495345087, 0.5025453308776239, 0.3611973037388607, 0.6171050756867446, 0.4089677232911606, 0.13532768600204922, 0.5014564747734711, 0.3637731372920439, 0.31400930536586713, 0.29664930832383934, 0.29073206727569256, 0.2887200132863051, 0.2880040747541956, 0.2877106544408027, 0.28755575668064953, 0.28744922025475556, 0.28736271052880963]"
8,"[0.3333333333333333, 0.11896858703837078, 0.07984972890906598, 0.7208889875382632, 0.2240925182836267, 0.12149728663818436, 0.09962512549989065, 0.08846977378447625, 0.07969684277939594, 0.07232436406455446, 0.06607078019433617, 0.0607328064599323, 0.05614445015713938, 0.6326032478337866, 0.1749249613492743, 0.6380948713619417, 0.20415061498573864, 0.11054406817564497, 0.09235125987445074, 0.08658761992225518, 0.23979800189341063, 0.6452078533718338, 0.7606645697378281, 0.8008683631397486, 0.8229228476973933, 0.8393816436388024, 0.8530545628166216, 0.8647524951816209, 0.8748627509414035, 0.8836554350243516, 0.8913449209477361, 0.8981062631145835, 0.9040831959349329, 0.9093940023266146, 0.9141362843916137, 0.25896959800889574, 0.7569983831716296, 0.22128092141197664, 0.7236949187608841, 0.861500633657216]","[0.8, 0.95031706851728, 0.5060833882109878, 0.2986399528671472, 0.19786796233834172, 0.794731471914326, 0.3543766390660721, 0.22287522879424188, 0.7460636365584975, 0.3617231076280645, 0.7460711930070059, 0.3913565802425004, 0.2939227394401509, 0.26411906452959344, 0.24922760545814376, 0.2381022929023931, 0.22846279610935638, 0.6638920687793213, 0.3504988548303281, 0.2742788843289631, 0.41037252354397896, 0.6849459116572237, 0.7400595437021548, 0.5409315713808411, 0.7243846451996786, 0.545155753486213, 0.502655194088433, 0.4930469832540677, 0.7224845729869979, 0.5477470526637642, 0.5097541690390103, 0.5018671923862017, 0.5002484649135751, 0.4998892160554638, 0.4997785190592345, 0.4997186201978377, 0.4996716208648884, 0.49963013157638775, 0.49959246253734824, 0.4995579993768693]"
9,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.37877626975223005, 0.20707012262373414, 0.16148223128515146, 0.13971082137403934, 0.12363928292946888, 0.11038749515307614, 0.09928325302003596, 0.7139863625659605, 0.25800454115660154, 0.1464135791637195, 0.1220413566171265, 0.11265782798268176, 0.10609977031311328, 0.10049331034756606, 0.09550126207133014, 0.0910133054991313, 0.0869597492856868, 0.26295263808859676, 0.7278343250678493, 0.8307298789625938, 0.8617157051091417, 0.28742681150133237, 0.7337947954188284, 0.8338455694622309, 0.305382377502613, 0.7229448054684653, 0.2882776838105513, 0.6971235711785894, 0.7992344043667042, 0.8268774546740106, 0.8394339719904618, 0.33934438207732115, 0.7171180658749587, 0.31219684950901155, 0.18351027046561944, 0.6446726495702795, 0.774061353363075]","[0.8, 0.24403591839968797, 0.085448249735078, 0.042786853851180195, 0.02727976517424278, 0.019693763508521884, 0.015273798678264, 0.5965354830196494, 0.10247343178566921, 0.03095660775310157, 0.021328015192080305, 0.018258016724232603, 0.016242830764144043, 0.014647437341571808, 0.013332325807706803, 0.012228998477925567, 0.011291168119796644, 0.01048508850184007, 0.5168120385127909, 0.08427292183383912, 0.12670609455567886, 0.5898991922133128, 0.11525074883902472, 0.5422848349572658, 0.7506081174639512, 0.186877636086061, 0.06098917213437696, 0.4590059165908529, 0.6894713423700568, 0.7697071858360485, 0.4904289352742484, 0.7255662358719582, 0.480793270841703, 0.73054726058186, 0.490711269793245, 0.7407151915271067, 0.5023448839921517, 0.7505174117681319, 0.5134240231042385, 0.41227913503606134]"
