,biased_B,Type1_depressed
0,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.9222298632441662, 0.9353002020197798, 0.9433519033260406, 0.9491954843877717, 0.9537687419351605, 0.9574824826467703, 0.9605671308235022, 0.8817478276498562, 0.9507639736660606, 0.879409959974554, 0.1986273153967323, 0.8233233175996626, 0.9297417574990049, 0.8571096969309376, 0.9404438248145542, 0.8645109254603298, 0.9427095326675928, 0.8676968747016025, 0.18052702380504762, 0.8170465399060297, 0.9261454754956309, 0.852726193755027, 0.9354421828984048, 0.8585580889432279, 0.8282150523071361, 0.15335216450082725, 0.8026687099297023, 0.22390032052327088, 0.7939835965491149, 0.7840563499102198, 0.7808112293896329, 0.7792314671018151, 0.7782241640640324, 0.7774581197077751, 0.7768131448352785, 0.7762416252620131, 0.7757230187638292]","[0.8, 0.24403591839968797, 0.8365515149979228, 0.9163811578625504, 0.9406207942627833, 0.3716155504150538, 0.8517143140017308, 0.7582358294802976, 0.9107336604136244, 0.7895949675540461, 0.7527661027992026, 0.7417728764186744, 0.7383832967879429, 0.7371474676664275, 0.7365366971160533, 0.7361384676641316, 0.7358379352231379, 0.7355972181158426, 0.7353993243291697, 0.7352341529516286, 0.7350947229597915, 0.7349758941979466, 0.7348737692852643, 0.7347853390439298, 0.7347082470735545, 0.7346406256064382, 0.7345809780650369, 0.7345280934951355, 0.7344809832772529, 0.7344388336881044, 0.7344009699114883, 0.7343668284330803, 0.7343359356509047, 0.7343078911466513, 0.2628183134329989, 0.21088403314564566, 0.866939388672886, 0.736364170872063, 0.7163343883213531, 0.7132812181309918]"
1,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.9222298632441662, 0.3998998391568756, 0.8238203893361917, 0.887844215936314, 0.4148699085995029, 0.8107472187137972, 0.8699531251494934, 0.8881890492818246, 0.8969522736424219, 0.9030246356797044, 0.908020107031741, 0.9123671129951699, 0.8055585417263607, 0.8994836637664513, 0.8039781851044038, 0.9010179536167435, 0.8075499781084117, 0.7787852640893861, 0.32206818232373946, 0.18851403119103607, 0.14715922268288226, 0.12328352132860308, 0.10503349804671264, 0.0903724117807994, 0.07851289196710344, 0.7496094236337665, 0.8881981121119219, 0.37188287407889764, 0.16318374411324943, 0.10848561209581814, 0.7222776143387706, 0.3180231666902963, 0.1684778195079613, 0.12539073014882762, 0.1104168540548678, 0.1023189671009346, 0.09618408345085837]","[0.8, 0.95031706851728, 0.9664118267531233, 0.9746730371977689, 0.913190649218268, 0.8934427202510851, 0.8850819895756564, 0.8812393942225222, 0.8793591676321478, 0.8783414433254528, 0.8777195793702217, 0.877297982997209, 0.8769910033178827, 0.8767571057297816, 0.8765734626543027, 0.8764261072397562, 0.8763058317125144, 0.8762062613455289, 0.8761228312495719, 0.8760521882670025, 0.8759918179825515, 0.8759398016904547, 0.8758946528712511, 0.8758552043224679, 0.8758205285638961, 0.8757898806540833, 0.8757626564269881, 0.8757383615390318, 0.8757165882222075, 0.8756969976133405, 0.8756793061735108, 0.8756632751450754, 0.8756487022904026, 0.8756354153625675, 0.8756232669035177, 0.875612130068875, 0.8756018952533884, 0.8755924673457022, 0.8755837634813979, 0.8755757111932826]"
2,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.9222298632441662, 0.9353002020197798, 0.9433519033260406, 0.4073449976603704, 0.8398336612221968, 0.9072854825974916, 0.925887942391051, 0.9333409530151571, 0.9379198481902906, 0.842443243532698, 0.25939881274397963, 0.8199312283618568, 0.9091210887373571, 0.8191502200088353, 0.9146017881189279, 0.8243506416722798, 0.9169722670197258, 0.8279621839321242, 0.24258154090566378, 0.09917017955169653, 0.06894846869597712, 0.054383619082600386, 0.04427984202291482, 0.7420193913690746, 0.901777719218183, 0.7967404408647044, 0.19096738536847566, 0.05733385883349855, 0.038167760687529514, 0.7035909690470581, 0.19646092062224768, 0.0703637712839345, 0.04827259480540445, 0.041703097182869076, 0.03772851134929675, 0.034538632034588915, 0.6571039377776626]","[0.8, 0.95031706851728, 0.9664118267531233, 0.5535156746864204, 0.9186283544758497, 0.8373867619078897, 0.818880836539284, 0.8134857312611914, 0.8115039168969687, 0.8105659388816219, 0.8100089146817673, 0.8096267967526699, 0.8093442226542139, 0.8091266742871948, 0.8089548371885873, 0.8088164806560079, 0.8087033257551846, 0.8086095439883288, 0.8085309174238247, 0.8084643260614347, 0.8084074188769153, 0.8083583954998153, 0.8083158574654131, 0.8082787046059158, 0.8082460614794719, 0.8082172242282691, 0.8081916216004913, 0.8081687859626553, 0.8081483314687745, 0.808129937429231, 0.8081133355063792, 0.8080982997599262, 0.8080846388377864, 0.8080721897985478, 0.808060813186427, 0.808050389076106, 0.8080408138747505, 0.8080319977196789, 0.8080238623479759, 0.8080163393425638]"
3,"[0.3333333333333333, 0.8132849247979292, 0.31982291118608447, 0.78304614270317, 0.8558203930956381, 0.386889140911243, 0.7801922489911388, 0.8382565317286954, 0.4123372193454296, 0.7706111154452975, 0.4166340113489331, 0.7526055416480784, 0.8002800451117449, 0.8160826534574087, 0.8253589883085558, 0.44340617935644827, 0.3394820064063956, 0.7424690444558438, 0.7948442564185477, 0.8084510686602001, 0.6877013117235703, 0.4284718764466806, 0.7466143063235139, 0.46569245508144863, 0.3964885474908961, 0.37860614763900846, 0.371248833552621, 0.3660731497938432, 0.36146194519953645, 0.35710156482314637, 0.35292758929121676, 0.3489232968304354, 0.34508108945457633, 0.3413950757450089, 0.3378596549079708, 0.7020502666780047, 0.43169937028726857, 0.37201213717888376, 0.35834673097624203, 0.3538854269513306]","[0.8, 0.95031706851728, 0.9664118267531233, 0.9746730371977689, 0.913190649218268, 0.8934427202510851, 0.8850819895756564, 0.8812393942225222, 0.8793591676321478, 0.8783414433254528, 0.8777195793702217, 0.877297982997209, 0.8769910033178827, 0.8767571057297816, 0.8765734626543027, 0.8764261072397562, 0.8763058317125144, 0.8762062613455289, 0.8761228312495719, 0.8760521882670025, 0.8759918179825515, 0.8759398016904547, 0.8758946528712511, 0.8758552043224679, 0.8758205285638961, 0.8757898806540833, 0.8757626564269881, 0.8757383615390318, 0.8757165882222075, 0.8756969976133405, 0.8756793061735108, 0.8756632751450754, 0.8756487022904026, 0.8756354153625675, 0.8756232669035177, 0.875612130068875, 0.8756018952533884, 0.8755924673457022, 0.8755837634813979, 0.8755757111932826]"
4,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.9222298632441662, 0.9353002020197798, 0.9433519033260406, 0.9491954843877717, 0.9537687419351605, 0.9574824826467703, 0.9605671308235022, 0.8817478276498562, 0.9507639736660606, 0.879409959974554, 0.9514859801075705, 0.8822232306466417, 0.9529640022794617, 0.8852043511019152, 0.9543732557903207, 0.8879633497923903, 0.9556617864540345, 0.890497345349942, 0.2247187949881303, 0.06257634383100713, 0.03913153586096648, 0.029463618985961556, 0.023138314418715458, 0.018731634223524463, 0.7623621411973482, 0.18176541216801936, 0.04480845189590465, 0.027903847047630683, 0.02358104143334765, 0.7076260870083948, 0.19327077109274263, 0.05535311811337285, 0.6917389208258172, 0.22750408143370893, 0.07905654246771907, 0.0500155657215986, 0.04298482884231891]","[0.8, 0.95031706851728, 0.9664118267531233, 0.5535156746864204, 0.9186283544758497, 0.8373867619078897, 0.818880836539284, 0.8134857312611914, 0.8115039168969687, 0.8105659388816219, 0.8100089146817673, 0.8096267967526699, 0.8093442226542139, 0.8091266742871948, 0.8089548371885873, 0.8088164806560079, 0.8087033257551846, 0.8086095439883288, 0.8085309174238247, 0.8084643260614347, 0.8084074188769153, 0.8083583954998153, 0.8083158574654131, 0.8082787046059158, 0.8082460614794719, 0.8082172242282691, 0.8081916216004913, 0.8081687859626553, 0.8081483314687745, 0.808129937429231, 0.8081133355063792, 0.8080982997599262, 0.8080846388377864, 0.8080721897985478, 0.808060813186427, 0.808050389076106, 0.8080408138747505, 0.8080319977196789, 0.8080238623479759, 0.8080163393425638]"
5,"[0.3333333333333333, 0.8132849247979292, 0.31982291118608447, 0.78304614270317, 0.8558203930956381, 0.8825989688398325, 0.39811347904136, 0.2445520619881083, 0.7577594134637708, 0.8339347027935826, 0.8572339474795093, 0.8688077878870495, 0.8770067124797991, 0.8837890329151378, 0.8896822463276828, 0.394563561747295, 0.8001246990119217, 0.8622700437975594, 0.8770998378925591, 0.7576055250308114, 0.7213337388483556, 0.8585982646242709, 0.7530274364188008, 0.8650710160982578, 0.7580608419375096, 0.3173818200345458, 0.19883083394329812, 0.16308776349550472, 0.14289042626696377, 0.12703150208986938, 0.7461643996135094, 0.32305504067607477, 0.1894332642247183, 0.15153260847134287, 0.7219564532526844, 0.8417850588918186, 0.7061692739552498, 0.29846171828904317, 0.1783460170873257, 0.14527202204585285]","[0.8, 0.95031706851728, 0.9664118267531233, 0.5535156746864204, 0.9186283544758497, 0.8373867619078897, 0.818880836539284, 0.8134857312611914, 0.8115039168969687, 0.8105659388816219, 0.8100089146817673, 0.8096267967526699, 0.8093442226542139, 0.8091266742871948, 0.8089548371885873, 0.8088164806560079, 0.8087033257551846, 0.8086095439883288, 0.8085309174238247, 0.8084643260614347, 0.8084074188769153, 0.8083583954998153, 0.8083158574654131, 0.8082787046059158, 0.8082460614794719, 0.8082172242282691, 0.8081916216004913, 0.8081687859626553, 0.8081483314687745, 0.808129937429231, 0.8081133355063792, 0.8080982997599262, 0.8080846388377864, 0.8080721897985478, 0.808060813186427, 0.808050389076106, 0.8080408138747505, 0.8080319977196789, 0.8080238623479759, 0.8080163393425638]"
6,"[0.3333333333333333, 0.8132849247979292, 0.31982291118608447, 0.1885650365116232, 0.1537479156976623, 0.7339798680748955, 0.8295545269781968, 0.8624217271264403, 0.8794634815236761, 0.8912301624089414, 0.9004957336440641, 0.9081561351850141, 0.914623968184876, 0.9201557785140143, 0.34987447058740456, 0.8092059736049415, 0.8886100124590688, 0.9065877173991637, 0.37959691620173097, 0.805167072838967, 0.7333176926902563, 0.2939074152508399, 0.1656988337764562, 0.7446012491116395, 0.33195480766706115, 0.19869848114126124, 0.160319358238054, 0.14322095345655486, 0.131234412591301, 0.1211537700235881, 0.11227577952590516, 0.10437372896743968, 0.09731791236374349, 0.09100508905328626, 0.08534539597390788, 0.08025962962295828, 0.07567819468448866, 0.0715402170250332, 0.06779263520257174, 0.0643892967475443]","[0.8, 0.24403591839968797, 0.085448249735078, 0.7376565078916956, 0.8786764150100913, 0.9170847398524533, 0.9344164158407728, 0.9450609477786229, 0.8162285740872112, 0.9377145934867407, 0.8246117875511931, 0.7767629591167966, 0.9374930642906683, 0.828297325694614, 0.7868236023256651, 0.9414458487487388, 0.8333251809139316, 0.7958764702486989, 0.7825882482726549, 0.7778283002183897, 0.7760367642660778, 0.9427324093711016, 0.8292517846353268, 0.7973120710367533, 0.7880770886900901, 0.7853668895309454, 0.7845127356793472, 0.7841809519819893, 0.7840001562830508, 0.7838690828606483, 0.7837599306645051, 0.7836643792566675, 0.7835792610005263, 0.7835028595955276, 0.7834339602420622, 0.7833715931304471, 0.7833149502179828, 0.7832633473847832, 0.7832162007431289, 0.783173009107453]"
7,"[0.3333333333333333, 0.8132849247979292, 0.31982291118608447, 0.78304614270317, 0.8558203930956381, 0.386889140911243, 0.7801922489911388, 0.8382565317286954, 0.8589620570082684, 0.8705650376191257, 0.8791526432770544, 0.8862845302316339, 0.8924410732270278, 0.8978354472240042, 0.9026021113750761, 0.9068419315708717, 0.7938617106797048, 0.8938559409274871, 0.7928138545208216, 0.895710233683977, 0.7966899928237269, 0.8981368374592341, 0.8005160406604434, 0.772311866885351, 0.26596775234101105, 0.8222439712149531, 0.7687978077315162, 0.754505669438863, 0.2542936681333275, 0.8099876559372372, 0.757618104246982, 0.743497675232599, 0.7394876917636722, 0.7381673717324536, 0.7375690308288481, 0.737175581792679, 0.736852109334134, 0.7365627871764753, 0.7362971197386091, 0.7360510929744367]","[0.8, 0.24403591839968797, 0.8365515149979228, 0.27414257084048893, 0.7922065595641269, 0.8815988123798978, 0.9081172974288582, 0.7589449274850488, 0.9035427383382931, 0.7721975269696586, 0.259520922483697, 0.13316369667058553, 0.7638116473728518, 0.6907645702165696, 0.2233610051103308, 0.7691767053382645, 0.679563733915237, 0.6485115690107497, 0.63818166224383, 0.6347529343211311, 0.6335245751112496, 0.632985913762554, 0.632672629506212, 0.6324452966094608, 0.6322609688367143, 0.6321046296941436, 0.6319695024519184, 0.6318515350499336, 0.6317478268409737, 0.6316561265312862, 0.6315746277138439, 0.6315018574875136, 0.6314366024596146, 0.631377854813701, 0.6313247714503984, 0.6312766424451554, 0.6312328664022654, 0.6311929310106714, 0.6311563975726219, 0.6311228885973734]"
8,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.9222298632441662, 0.9353002020197798, 0.40660130421393476, 0.19395107508557777, 0.7809520012677826, 0.8771936439777743, 0.9039076994245144, 0.9145692746891642, 0.9210233235507648, 0.9260179303482133, 0.9302400859579584, 0.9339138380693591, 0.8300757535816623, 0.9208660654034427, 0.8276167697349259, 0.9220100552360627, 0.8309797209340319, 0.7973537784316007, 0.274604211657274, 0.12685228488745487, 0.0909042960995439, 0.0734841998655205, 0.0612318436741269, 0.0519130749695745, 0.04467031235191185, 0.038953545600268445, 0.03437376625442491, 0.03065198440485618, 0.027586540968128844, 0.7185817710541471, 0.20433186352051833, 0.0622319598288617, 0.7055358345378131, 0.23177698248276127, 0.08272085996137475, 0.0525772458250984, 0.04523672088500988]","[0.8, 0.95031706851728, 0.9664118267531233, 0.9746730371977689, 0.913190649218268, 0.8934427202510851, 0.8850819895756564, 0.8812393942225222, 0.8793591676321478, 0.8783414433254528, 0.8777195793702217, 0.877297982997209, 0.8769910033178827, 0.8767571057297816, 0.8765734626543027, 0.8764261072397562, 0.8763058317125144, 0.8762062613455289, 0.8761228312495719, 0.8760521882670025, 0.8759918179825515, 0.8759398016904547, 0.8758946528712511, 0.8758552043224679, 0.8758205285638961, 0.8757898806540833, 0.8757626564269881, 0.8757383615390318, 0.8757165882222075, 0.8756969976133405, 0.8756793061735108, 0.8756632751450754, 0.8756487022904026, 0.8756354153625675, 0.8756232669035177, 0.875612130068875, 0.8756018952533884, 0.8755924673457022, 0.8755837634813979, 0.8755757111932826]"
9,"[0.3333333333333333, 0.8132849247979292, 0.8941812865234197, 0.9222298632441662, 0.9353002020197798, 0.40660130421393476, 0.833182824799115, 0.8987466242027307, 0.91807042009871, 0.9264566081547739, 0.9318259625723955, 0.9360587876882627, 0.9396503197763979, 0.845665760705804, 0.9278971343308257, 0.8434405092490549, 0.25351847323556204, 0.8270257117917186, 0.9150058366468565, 0.8292535698982179, 0.7983417500583799, 0.21512089507891, 0.08575995286681638, 0.059406060979897354, 0.7633680576921057, 0.24253289050211368, 0.0981846535089751, 0.06866312702607352, 0.057246533312929955, 0.7073424630884101, 0.241375039548877, 0.10216228031588255, 0.07204345871113271, 0.6775464337818545, 0.25616785282882154, 0.12004494839556998, 0.08698879461766813, 0.07641318040168234, 0.07053922208368374, 0.06593994127119082]","[0.8, 0.24403591839968797, 0.8365515149979228, 0.9163811578625504, 0.9406207942627833, 0.9525551794753269, 0.843146015579053, 0.9488787968871216, 0.8533963418785357, 0.8207773303039307, 0.8096727154277549, 0.8057519927180421, 0.8041573888224701, 0.8033337155775183, 0.8028008268047767, 0.8024067159320615, 0.8020963790316774, 0.8018445508216653, 0.801636550875332, 0.9484067491506426, 0.8340943231371851, 0.8138792467911274, 0.8103435328570745, 0.8096804601972264, 0.8095018024358075, 0.8094090069298427, 0.8093369971210523, 0.8092746139798679, 0.8092192530314148, 0.8091697518695556, 0.8091252891659222, 0.809085199084312, 0.8090489247552618, 0.8090159957289021, 0.8089860120892297, 0.8089586320740639, 0.8089335621889212, 0.8089105492349661, 0.8088893738353911, 0.8088698451457934]"
