,Player1_healthy,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,30.5,18.0,31.0,18.5,19.0
1,34.0,18.0,21.5,19.5,19.0
2,25.5,19.0,30.5,19.5,21.0
3,32.5,26.0,24.0,19.0,20.0
4,23.0,19.0,35.5,17.0,19.0
5,27.5,17.5,17.0,19.5,19.0
6,30.5,19.0,19.5,17.0,19.0
7,29.5,19.0,35.5,19.5,19.0
8,16.5,25.0,22.5,18.5,19.0
9,30.0,21.0,17.5,19.5,19.0
10,23.5,23.0,21.5,19.0,20.0
11,32.0,16.0,20.5,18.5,19.0
12,23.0,17.5,20.0,21.0,19.0
13,33.5,17.0,29.5,17.0,19.0
14,32.0,24.5,23.0,18.5,19.0
15,33.5,21.5,18.0,17.0,19.0
16,20.5,22.5,27.5,18.5,20.0
17,22.0,24.5,17.5,17.0,19.0
18,29.0,15.0,31.5,19.5,19.0
19,30.0,17.5,27.0,18.5,22.0
