,Participant Private ID,Spreadsheet,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Type,Reaction Time,Response,display,Button A,Button B,Zuweisung_Mitspieler(in),partnerAnswer,reward
14,9089012.0,Negative-to-positive,17.0,1,1.0,decision,response_button_text,4560.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""keEpcalm""",2,2
22,9089012.0,Negative-to-positive,7.0,2,1.0,decision,response_button_text,2183.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""sdlfn""",2,2
30,9089012.0,Negative-to-positive,12.0,3,1.0,decision,response_button_text,3546.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""schnuck""",2,2
38,9089012.0,Negative-to-positive,25.0,4,1.0,decision,response_button_text,508.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""ines""",1,1
44,9089012.0,Negative-to-positive,23.0,5,1.0,decision,response_button_text,507.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""8D""",0,0
50,9089012.0,Negative-to-positive,29.0,6,1.0,decision,response_button_text,493.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""c3po""",1,1
56,9089012.0,Negative-to-positive,13.0,7,1.0,decision,response_button_text,393.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""TryMe""",1,1
62,9089012.0,Negative-to-positive,16.0,8,1.0,decision,response_button_text,925.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""666""",0,0
68,9089012.0,Negative-to-positive,21.0,9,1.0,decision,response_button_text,2279.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""fabien""",2,2
76,9089012.0,Negative-to-positive,26.0,10,1.0,decision,response_button_text,1686.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Ppwjer""",1,1
82,9089012.0,Negative-to-positive,5.0,11,1.0,decision,response_button_text,1302.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""lisa""",2,2
90,9089012.0,Negative-to-positive,32.0,12,1.0,decision,response_button_text,3150.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Steffen""",2,2
98,9089012.0,Negative-to-positive,4.0,13,1.0,decision,response_button_text,1093.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Daniel""",0,0
104,9089012.0,Negative-to-positive,31.0,14,1.0,decision,response_button_text,2717.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""max""",2,2
112,9089012.0,Negative-to-positive,10.0,15,1.0,decision,response_button_text,1388.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Zoe""",2,2
120,9089012.0,Negative-to-positive,11.0,16,1.0,decision,response_button_text,1062.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""collin""",1,1
126,9089012.0,Negative-to-positive,15.0,17,1.0,decision,response_button_text,1234.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""next""",1,1
132,9089012.0,Negative-to-positive,19.0,18,1.0,decision,response_button_text,850.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Rico""",0,0
138,9089012.0,Negative-to-positive,6.0,19,1.0,decision,response_button_text,1857.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""memphis""",0,0
144,9089012.0,Negative-to-positive,24.0,20,1.0,decision,response_button_text,1329.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""dillon""",1,1
150,9089012.0,Negative-to-positive,14.0,21,1.0,decision,response_button_text,2000.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Woop""",1,1
156,9089012.0,Negative-to-positive,8.0,22,1.0,decision,response_button_text,1031.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""Temminator""",1,1
162,9089012.0,Negative-to-positive,27.0,23,1.0,decision,response_button_text,2201.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""CptSparrow""",2,2
170,9089012.0,Negative-to-positive,20.0,24,1.0,decision,response_button_text,2633.0,1,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""maggy""",2,2
178,9089012.0,Negative-to-positive,3.0,25,1.0,decision,response_button_text,387.0,0,Trials,50ct behalten,50ct spenden,"Sie spielen mit ""kazandr""",1,1
