,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,29.5,31.5,27.5,20.0,35.0,31.0,28.5,20.0,35.5
1,28.5,37.5,34.0,20.0,27.5,33.0,37.5,30.0,23.5
2,23.5,33.0,27.5,20.0,29.0,32.0,28.0,22.0,28.5
3,33.0,26.5,33.5,20.0,22.5,33.0,32.5,21.5,22.0
4,26.0,28.5,25.0,20.0,28.5,37.5,28.5,35.0,27.0
5,28.0,33.0,29.0,20.0,28.5,32.0,31.5,35.5,25.5
6,36.0,33.0,30.5,20.0,39.0,34.5,31.0,19.0,30.5
7,27.5,31.5,33.0,20.0,31.0,35.0,32.5,28.5,34.0
8,27.0,31.5,32.5,20.0,33.0,30.0,33.5,29.5,34.0
9,32.0,30.0,27.0,20.0,28.5,29.0,34.5,20.5,34.5
10,34.5,28.5,29.5,20.0,25.5,29.5,38.0,23.5,29.0
11,33.5,36.0,29.0,20.0,31.5,36.5,32.0,34.5,29.5
12,33.0,34.5,31.5,20.0,30.0,35.0,30.0,30.0,33.5
13,36.0,34.5,30.5,20.0,32.0,34.5,34.5,24.5,23.5
14,26.0,30.0,30.0,20.0,33.0,32.0,35.5,32.5,35.0
15,30.5,31.5,29.0,20.0,30.0,29.0,29.5,25.5,35.5
16,34.5,30.0,29.0,20.0,32.5,30.5,28.0,28.5,34.5
17,31.5,34.5,29.0,20.0,27.0,29.0,37.5,24.5,32.5
18,28.5,26.5,35.5,20.0,33.0,30.5,36.0,39.0,33.0
19,29.0,30.0,25.0,20.0,34.5,36.0,31.5,28.5,28.5
