,Player1_healthy,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,81.5,66.5,63.5,61.0,61.0
1,88.0,75.0,69.5,61.0,61.0
2,84.0,73.5,65.5,61.0,61.0
3,82.0,72.0,65.0,61.0,61.0
4,77.5,74.0,61.5,61.0,61.0
5,90.0,70.5,60.0,61.0,61.0
6,82.0,65.5,71.0,61.0,61.0
7,79.5,84.5,83.5,61.0,61.0
8,96.5,76.5,66.5,61.0,61.0
9,76.5,75.0,66.0,61.0,61.0
10,79.0,63.0,69.5,61.0,61.0
11,96.0,74.5,88.0,61.0,61.0
12,101.0,72.5,61.0,61.0,61.0
13,68.5,72.5,67.5,61.0,61.0
14,72.0,83.5,61.5,61.0,61.0
15,103.0,78.5,66.5,61.0,61.0
16,79.0,69.0,62.0,61.0,61.0
17,87.5,66.0,70.5,61.0,61.0
18,74.5,69.0,61.0,61.0,61.0
19,78.5,72.5,79.5,61.0,61.0
