,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,25.5,30.0,28.5,25.0,28.5,31.5,29.0,30.5,25.0
1,34.5,28.5,28.5,27.5,30.0,32.0,34.0,28.0,21.5
2,30.0,27.0,28.5,29.0,30.5,32.0,35.0,24.0,21.5
3,29.0,25.5,33.0,28.5,32.0,27.0,30.0,38.5,23.0
4,29.0,33.0,27.5,21.0,32.5,28.0,34.5,25.5,29.0
5,34.5,36.0,26.0,23.0,30.5,29.0,32.5,32.5,31.0
6,27.5,36.0,30.5,26.0,30.5,26.0,27.5,34.5,25.0
7,27.5,28.5,31.5,23.0,24.5,39.5,26.5,28.5,29.0
8,36.0,31.5,32.0,23.0,30.0,30.0,28.5,21.0,27.0
9,33.0,31.5,43.5,35.0,28.5,22.0,33.0,33.5,38.0
10,31.5,33.0,31.5,28.0,30.0,28.0,34.0,20.5,21.0
11,29.5,27.0,25.5,25.5,26.0,34.5,29.5,30.0,19.0
12,27.0,28.5,30.5,27.0,25.5,32.5,27.0,33.5,30.0
13,26.5,28.5,34.5,20.5,28.0,32.5,32.5,24.0,29.0
14,27.5,34.5,27.0,20.0,30.0,33.0,30.0,31.0,22.5
15,33.0,33.0,39.0,30.5,26.0,37.5,26.5,25.5,29.0
16,34.5,37.5,26.0,28.5,27.5,39.5,31.0,30.5,21.0
17,30.5,30.0,33.0,24.0,27.0,25.5,32.0,36.5,22.5
18,27.5,30.0,28.5,27.0,26.0,36.0,35.0,32.0,21.5
19,30.5,27.0,39.0,30.0,30.0,34.0,31.0,34.5,24.0
