,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,34.5,36.0,28.5,20.0,18.5,18.5,18.5,21.5,17.5
1,25.5,14.0,29.5,20.0,23.0,18.5,19.5,19.0,18.5
2,33.0,17.0,29.0,20.0,37.5,18.5,19.5,19.0,20.5
3,26.5,15.0,28.5,20.0,35.5,20.0,20.0,19.0,20.5
4,33.0,14.0,17.5,20.0,26.0,19.0,18.5,20.0,19.0
5,16.0,16.0,22.5,20.0,25.5,18.5,20.5,19.0,17.5
6,32.0,17.5,25.5,20.0,15.5,18.5,17.5,19.0,20.5
7,30.0,16.5,19.0,20.0,29.0,19.0,17.5,19.0,18.5
8,29.0,15.0,25.5,20.0,15.5,18.5,17.5,20.5,18.5
9,33.5,15.0,31.0,20.0,17.0,18.5,19.5,20.0,21.5
10,23.5,17.5,30.5,20.0,28.0,18.5,18.5,19.0,17.5
11,23.5,36.0,16.0,20.0,24.0,18.5,17.5,19.0,20.5
12,29.5,15.5,21.0,20.0,16.5,19.0,17.5,19.0,18.5
13,18.0,31.5,32.0,20.0,15.5,19.0,17.5,20.5,18.5
14,19.5,15.5,30.0,20.0,31.0,21.5,18.5,20.0,17.5
15,27.5,18.5,31.0,20.0,15.5,18.5,17.5,19.0,17.5
16,28.0,15.5,36.5,20.0,16.5,20.0,18.5,20.0,18.5
17,32.0,17.5,20.5,20.0,15.5,17.5,19.5,19.0,18.5
18,29.5,15.5,27.0,20.0,35.0,18.5,18.5,19.0,23.5
19,31.0,34.5,17.5,20.0,32.0,18.5,18.5,20.0,19.5
