,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,38.0,14.0,31.5,20.5,30.5,17.0,28.0,18.5,22.0
1,18.0,33.0,24.5,20.5,27.5,15.5,27.0,20.5,21.5
2,34.5,31.5,36.0,19.5,23.5,18.5,17.0,22.0,19.0
3,33.0,16.0,28.0,21.0,35.5,17.5,28.5,18.5,19.0
4,27.5,28.5,22.5,19.5,32.5,16.0,27.5,19.5,19.0
5,36.0,36.0,31.0,18.5,27.5,21.0,20.5,18.5,19.0
6,37.0,31.5,28.0,18.5,32.0,27.0,30.5,17.0,19.0
7,27.0,15.5,31.0,18.5,28.5,21.0,22.5,19.5,19.0
8,39.0,34.5,26.5,20.5,31.5,17.0,29.0,17.0,21.5
9,29.5,14.5,29.0,18.5,33.5,15.5,24.0,18.5,22.0
10,31.0,14.0,29.5,18.5,25.5,19.5,21.5,19.5,20.0
11,15.0,37.5,27.0,20.5,30.0,33.0,30.5,19.5,20.0
12,34.5,14.5,27.5,18.5,32.0,18.0,17.5,21.5,20.0
13,29.5,31.5,34.0,18.5,29.5,19.5,21.0,18.5,19.0
14,34.0,18.5,29.0,18.5,32.0,19.0,24.0,19.5,19.0
15,36.0,14.5,25.0,18.5,23.0,18.0,30.0,19.5,20.0
16,24.0,14.5,34.5,21.0,39.0,22.0,30.0,19.5,19.0
17,30.5,33.0,29.5,18.5,29.0,19.5,16.0,18.5,19.0
18,32.0,33.0,30.0,23.0,30.0,20.0,15.5,17.0,20.0
19,24.0,30.0,30.5,19.5,29.5,18.0,33.0,22.0,20.0
