,Player1_healthy,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,80.5,75.5,78.0,71.5,66.0
1,65.5,74.5,70.5,66.0,63.5
2,81.0,72.0,89.5,69.5,62.5
3,89.0,65.5,89.5,68.5,61.0
4,81.5,70.0,62.0,64.0,65.0
5,74.5,65.0,83.5,64.5,66.0
6,90.5,66.0,88.5,70.5,65.0
7,77.5,67.5,77.0,62.5,66.0
8,90.5,73.0,76.0,67.5,64.0
9,79.0,65.0,92.0,79.0,65.0
10,77.5,63.0,70.0,62.0,66.0
11,72.5,66.0,87.5,64.5,62.0
12,93.5,73.0,83.0,75.5,63.0
13,67.5,67.0,71.0,69.0,65.0
14,81.5,70.5,79.5,63.5,63.5
15,80.0,68.0,84.0,72.5,67.0
16,83.0,73.0,74.0,62.0,66.0
17,79.0,70.5,68.5,69.5,66.0
18,71.0,65.5,74.5,64.0,63.5
19,77.5,67.0,76.5,63.0,61.0
