,Player1_healthy,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,23.5,35.0,33.5,34.0,25.0
1,31.0,25.0,31.5,31.5,27.0
2,36.5,29.5,30.0,38.0,29.0
3,35.0,38.0,27.0,37.0,20.0
4,26.5,27.0,32.0,31.0,22.5
5,29.0,30.0,37.5,32.0,22.5
6,32.0,26.0,29.0,35.0,29.0
7,29.5,31.0,32.5,36.0,22.5
8,28.5,36.0,31.5,22.5,21.5
9,32.0,25.5,31.5,31.5,26.0
10,27.5,31.5,35.0,22.0,22.0
11,36.0,31.5,39.0,29.5,33.0
12,32.0,29.0,29.0,34.5,21.5
13,31.5,34.5,30.0,32.0,22.5
14,33.0,35.5,26.5,31.0,25.0
15,34.5,26.0,27.5,35.0,21.0
16,22.0,24.5,36.0,31.0,19.0
17,25.0,39.5,33.0,43.5,33.0
18,33.0,35.5,27.0,35.0,38.0
19,32.0,33.0,34.5,29.5,21.5
