,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,30.5,31.5,35.0,36.0,29.0,31.0,32.5,33.5,28.0
1,29.0,26.0,32.0,37.0,33.0,29.0,36.0,21.0,21.5
2,32.5,31.5,26.0,30.5,30.0,21.5,26.5,21.0,22.0
3,33.0,33.0,30.5,29.0,24.5,31.0,29.5,31.0,21.0
4,37.5,29.0,34.5,34.0,25.5,23.5,30.0,32.5,25.0
5,30.0,33.0,30.5,32.5,25.5,33.0,34.0,22.0,24.0
6,32.0,31.5,31.5,35.5,29.5,27.5,32.5,26.5,39.0
7,36.0,30.0,26.0,30.5,31.5,27.0,30.0,35.0,21.5
8,33.5,30.0,30.5,36.0,29.5,34.5,33.5,35.0,23.0
9,32.0,27.5,35.5,29.0,33.0,21.5,27.0,30.5,21.5
10,33.0,30.0,22.0,31.5,27.0,30.5,32.5,33.0,28.0
11,28.0,31.5,34.5,28.0,30.5,29.5,32.5,21.0,22.5
12,28.0,31.5,36.0,29.0,28.0,25.5,33.0,24.5,29.0
13,33.0,28.5,26.5,37.5,31.5,31.0,36.5,33.0,26.0
14,30.5,30.5,27.5,34.0,30.0,27.5,30.0,35.5,22.5
15,24.5,28.0,25.0,32.5,32.0,32.5,29.0,27.0,22.5
16,34.5,29.5,29.0,34.0,26.0,26.5,33.5,36.0,27.0
17,23.0,28.5,27.5,32.0,31.5,39.0,35.0,23.5,20.0
18,30.5,31.5,28.0,36.5,30.0,29.0,34.0,31.0,20.0
19,36.0,37.5,29.0,34.5,40.5,34.5,29.0,33.0,20.0
