,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,26.0,18.0,35.0,29.5,24.5,18.5,16.0,17.0,19.0
1,29.0,15.0,17.5,26.5,24.0,20.5,26.0,19.5,19.0
2,27.0,17.5,26.5,18.0,33.0,16.5,34.0,17.0,21.0
3,30.5,15.0,28.5,18.0,34.0,22.0,20.0,17.0,20.0
4,32.0,15.0,14.0,16.5,26.5,22.5,16.5,19.5,20.0
5,28.0,16.0,27.5,19.5,31.0,17.0,32.0,19.5,20.0
6,19.0,18.0,33.5,19.5,33.5,20.0,33.0,17.0,19.0
7,30.5,17.5,28.5,17.5,31.0,14.5,31.0,18.5,19.0
8,31.0,16.0,30.5,16.5,32.5,17.5,20.5,18.5,19.0
9,34.5,17.0,28.0,21.0,30.5,17.5,30.0,19.5,23.0
10,36.0,18.0,31.5,18.0,30.0,18.5,24.5,21.0,19.0
11,34.5,14.5,27.5,20.0,31.0,21.0,19.0,21.0,22.0
12,28.0,18.0,22.0,21.5,35.0,19.0,32.5,17.0,19.0
13,26.5,15.5,31.5,16.5,31.0,18.5,31.0,18.5,19.0
14,31.5,15.0,37.5,18.5,30.5,17.5,36.5,19.5,19.0
15,25.0,16.0,32.5,30.0,24.0,19.5,30.5,22.5,19.0
16,29.0,18.0,31.5,18.0,27.5,17.0,32.5,18.5,20.0
17,28.0,17.5,29.5,18.0,28.0,18.5,24.0,19.5,19.0
18,29.0,18.0,31.0,18.0,28.0,18.0,31.0,20.5,19.0
19,33.5,18.0,24.0,28.0,25.5,15.5,27.0,19.5,19.0
