,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,30.0,30.0,33.0,20.0,27.5,18.5,18.5,20.0,20.0
1,29.5,12.0,31.5,20.0,32.0,18.5,17.5,20.0,20.0
2,33.0,28.5,28.5,20.0,32.5,18.5,19.5,20.0,20.0
3,32.5,37.5,36.5,20.0,32.0,18.5,19.5,20.0,20.0
4,30.5,13.5,39.0,20.0,30.0,19.0,18.5,20.0,20.0
5,31.0,16.5,27.0,20.0,29.5,20.0,18.5,20.0,20.0
6,35.0,14.5,32.5,20.0,31.0,22.0,19.0,20.0,20.0
7,29.0,16.0,29.0,20.0,31.5,22.5,17.5,20.0,20.0
8,29.0,30.0,29.0,20.0,24.5,19.5,17.5,20.0,20.0
9,38.0,14.5,25.5,20.0,30.0,18.5,18.5,20.0,20.0
10,29.5,34.5,31.5,20.0,27.5,18.5,17.5,20.0,20.0
11,31.5,33.0,30.0,20.0,33.0,18.0,19.5,20.0,20.0
12,27.0,13.5,29.0,20.0,32.5,18.5,18.5,20.0,20.0
13,25.0,13.0,29.0,20.0,26.0,18.5,18.5,20.0,20.0
14,29.0,22.5,36.0,20.0,30.5,20.0,17.5,20.0,20.0
15,27.0,13.5,32.0,20.0,31.5,20.0,18.5,20.0,20.0
16,20.0,37.5,33.0,20.0,13.0,20.0,17.5,20.0,20.0
17,31.5,31.5,18.0,20.0,33.5,21.0,18.5,20.0,20.0
18,31.0,28.5,34.5,20.0,13.0,18.5,17.5,20.0,20.0
19,22.5,20.0,19.0,20.0,32.0,18.5,19.0,20.0,20.0
