,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,36.5,13.0,34.5,20.0,32.5,18.5,18.5,20.0,20.0
1,37.0,31.5,32.0,20.0,13.0,18.5,17.5,20.0,20.0
2,31.0,13.5,34.0,20.0,25.0,18.5,17.5,20.0,20.0
3,27.5,33.0,34.0,20.0,29.5,19.0,17.5,20.0,20.0
4,25.5,16.0,37.5,20.0,32.5,19.0,19.5,20.0,20.0
5,36.0,14.5,25.0,20.0,34.5,18.5,19.5,20.0,20.0
6,27.0,17.0,39.0,20.0,31.5,19.5,17.5,20.0,20.0
7,33.0,28.5,24.0,20.0,24.0,19.0,18.5,20.0,20.0
8,33.5,13.0,17.5,20.0,28.0,18.5,19.5,20.0,20.0
9,34.0,15.0,16.0,20.0,13.0,18.5,17.5,20.0,20.0
10,33.0,12.0,28.5,20.0,34.0,18.5,17.5,20.0,20.0
11,30.5,13.0,32.5,20.0,19.5,18.5,18.5,20.0,20.0
12,25.5,30.0,31.5,20.0,27.0,18.5,18.5,20.0,20.0
13,31.0,18.5,28.0,20.0,28.0,18.5,21.5,20.0,20.0
14,34.5,13.0,27.0,20.0,29.0,19.5,18.5,20.0,20.0
15,33.0,19.5,25.0,20.0,36.0,18.0,18.5,20.0,20.0
16,26.5,14.5,33.0,20.0,22.5,18.5,17.5,20.0,20.0
17,27.5,34.5,32.5,20.0,26.5,18.5,18.5,20.0,20.0
18,36.0,13.5,28.5,20.0,26.0,18.5,21.0,20.0,20.0
19,34.0,13.0,32.5,20.0,20.0,18.0,18.5,20.0,20.0
